weeks,ccf,antimicrobial,organism
10,0.38845717467424296,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
11,0.41534165257710925,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
12,0.4424653339225446,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
13,0.4700249787845034,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
14,0.4976036391391728,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
15,0.5249344562080973,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
16,0.5531497785886026,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
17,0.5819713956530788,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
18,0.6106953795141212,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
19,NA,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
20,NA,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
1,0.10439668099424915,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,0.08976192590302344,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,0.07505430448546387,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,0.059781227654758136,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
