weeks,ccf,antimicrobial,organism
20,0.8106655920547152,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
1,0.8039302512636614,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,0.7762247838963835,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,0.7431438047935378,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,0.7069304355484869,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
5,0.6690333013782613,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,0.6330948316577306,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
7,0.5976716422831304,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
8,0.5616254315629795,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
9,0.5270926992289785,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
10,0.4935682406314236,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
11,0.4607560368777102,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
12,0.4283776001633716,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
13,0.39756872761961104,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
14,0.36491346389086327,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
15,0.32840528358752097,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
16,0.29306712996524376,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
17,0.2632628285423951,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
